index,登録者数,10万人,popularity,2dv2,2dv3,3d
1,月ノ美兎,18/03/14,105,o,o,o
2,樋口楓,18/05/07,60,o,o,o
3,静凛,18/05/07,35,o,o,o
4,物述有栖,18/09/04,25,o,o,o
5,鈴鹿詩子,19/01/24,55,o,o,o
6,本間ひまわり,19/01/30,70,o,o,o
7,える,19/02/03,40,o,o,o
8,椎名唯華,19/02/13,65,o,o,o
9,笹木咲,19/02/19,80,o,o,o
10,シスター・クレア,19/03/15,50,o,o,o
11,剣持刀也,19/04/06,85,o,o,o
12,勇気ちひろ,19/04/16,60,o,o,o
13,叶,19/04/20,115,o,o,o
14,竜胆尊,19/05/05,50,o,x,o
15,夢月ロア,19/05/07,35,o,x,o
16,緑仙,19/05/09,60,o,o,o
17,葛葉,19/05/26,150,o,o,o
18,森中花咲,19/05/31,30,o,x,o
19,ベルモンド・バンデラス,19/06/06,40,o,o,o
20,郡道美玲,19/06/11,45,o,o,o
21,宇志海いちご,19/06/12,15,o,x,o
22,鷹宮リオン,19/06/16,45,o,o,o
23,ドーラ,19/06/18,30,o,o,o
24,リゼ・ヘルエスタ,19/07/08,75,o,o,o
25,家長むぎ,19/07/14,20,o,x,o
26,アンジュ・カトリーナ,19/07/19,75,o,o,o
27,社築,19/07/21,70,o,x,o
28,戌亥とこ,19/08/21,70,o,x,o
29,ジョー・力一,19/08/27,45,o,o,o
30,アルス・アルマル,19/09/10,70,o,o,o
31,エクス・アルビオ,19/09/26,30,o,x,o
32,花畑チャイカ,19/09/28,40,o,o,o
33,加賀美ハヤト,19/10/06,60,o,o,o
34,舞元啓介,19/10/15,40,o,x,o
35,夜見れな,19/10/22,45,o,o,o
36,健屋花那,19/10/28,50,o,o,o
37,夢追翔,19/11/26,30,o,o,o
38,桜凛月,19/11/29,20,o,o,o
39,葉加瀬冬雪,19/12/16,40,o,o,o
40,ニュイ・ソシエール,19/12/22,45,o,o,o
41,卯月コウ,19/12/24,25,o,x,o
42,三枝明那,19/12/25,55,o,x,o
43,魔界ノりりむ,20/01/01,35,o,x,o
44,星川サラ,20/01/02,90,o,o,o
45,えま★おうがすと,20/01/21,20,o,o,o
46,神田笑一,20/01/26,20,o,o,o
47,相羽ういは,20/02/13,35,o,x,o
48,夕陽リリ,20/02/14,25,o,x,o
49,シェリン・バーガンディ,20/02/16,30,o,o,o
50,モイラ,20/02/27,10,o,o,o
51,雨森小夜,20/03/07,15,o,x,o
52,ラトナ・プティ,20/03/14,50,o,o,o
53,天宮こころ,20/03/20,55,o,o,o
54,文野環,20/03/24,30,o,x,o
55,愛園愛美,20/03/27,15,o,o,o
56,不破湊,20/03/29,75,o,o,o
57,黒井しば,20/04/01,20,o,x,x
58,葉山舞鈴,20/04/12,35,o,o,o
59,フレン・E・ルスタリオ,20/04/22,55,o,o,o
60,白雪巴,20/04/23,40,o,o,o
61,イブラヒム,20/04/28,55,o,x,o
62,レヴィ・エリファ,20/05/13,30,o,o,o
63,町田ちま,20/05/17,60,o,o,o
64,早瀬走,20/05/19,20,o,o,o
65,ChroNoiR,20/06/07,nd,x,x,x
66,赤羽葉子,20/06/18,15,o,o,o
67,エリー・コニファー,20/06/20,15,o,x,o
68,奈羅花,20/06/30,40,o,o,o
69,魔使マオ,20/07/05,25,o,o,o
70,ルイス・キャミー,20/07/12,20,o,o,o
71,フミ,20/08/05,20,o,o,o
72,渋谷ハジメ,20/08/23,15,o,o,o
73,雪城眞尋,20/09/11,15,o,o,o
74,小野町春香,20/09/19,20,o,o,o
75,西園チグサ,20/09/19,45,o,o,o
76,グウェル・オス・ガール,20/09/25,45,o,o,o
77,長尾景,20/09/27,35,o,o,o
78,伏見ガク,20/10/17,25,o,x,o
79,甲斐田晴,20/10/25,55,o,o,o
80,北小路ヒスイ,20/12/11,25,o,o,o
81,弦月藤士郎,20/12/12,30,o,o,o
82,山神カルタ,21/01/02,20,o,o,o
83,空星きらめ,21/01/09,15,o,o,o
84,瀬戸美夜子,21/02/10,15,o,o,x
85,周央サンゴ,21/02/23,45,o,o,o
86,轟京子,21/03/22,10,o,o,o
87,ギルザレンIII世,21/05/01,nd,x,x,x
88,朝日南アカネ,21/06/05,20,o,o,o
89,来栖夏芽,21/06/06,20,o,o,o
90,安土桃,21/06/24,10,o,o,x
91,レイン・パターソン,21/07/23,30,o,o,o
92,レオス・ヴィンセント,21/07/23,35,o,o,o
93,ローレン・イロアス,21/07/24,40,o,x,x
94,オリバー・エバンス,21/07/29,25,o,x,o
95,飛鳥ひな,21/08/05,10,o,x,x
96,成瀬鳴,21/09/14,10,o,o,o
97,東堂コハク,21/10/04,10,o,x,o
98,ROF-MAO,21/10/22,nd,x,x,x
99,春崎エアル,22/03/11,10,o,x,x
100,先斗寧,22/04/12,15,x,o,o
101,海妹四葉,22/05/10,15,x,x,o
102,壱百満天原サロメ,22/05/24,170,x,x,x
103,ヤン・ナリ,22/06/07,20,x,x,x
104,ミン・スゥーハ,22/06/27,15,x,x,x
105,渡会雲雀,22/07/18,25,x,x,x
106,四季凪アキラ,22/07/18,25,x,x,x
107,セラフ・ダズルガーデン,22/07/21,15,x,x,x
108,天ヶ瀬むゆ,22/07/23,10,x,x,x
109,セフィナ,22/07/27,15,x,x,x
110,風楽奏斗,22/08/13,15,x,x,x
111,VOLTACTION,22/12/23,nd,x,x,x
112,小清水透,23/01/29,10,x,x,x
113,ソフィア・ヴァレンタイン,23/02/09,10,x,x,x
114,Nornis,23/03/14,nd,x,x,x
